Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
Logistic Regression,0.9893262174783188,0.12936046511627908,0.9081632653061225,0.22646310432569974,0.976000471587059,0.7232739248109262
Random Forest,0.999403110845827,0.826530612244898,0.826530612244898,0.826530612244898,0.9691768150000575,0.8707487237447484
XGBoost,0.999385555282469,0.8058252427184466,0.8469387755102041,0.8258706467661692,0.9820098868191058,0.8727813256530946
LightGBM,0.9987886661282961,0.60431654676259,0.8571428571428571,0.7088607594936709,0.9614505393462955,0.7272511431290847
