Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
Logistic Regression,0.9992275552122467,0.8375,0.6836734693877551,0.7528089887640449,0.9508438680762119,0.7362035695296846
Random Forest,0.9995962220427653,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.9630272515590367,0.8733910547021404
XGBoost,0.9994908886626171,0.896551724137931,0.7959183673469388,0.8432432432432433,0.9219230021074272,0.7813171412660339
LightGBM,0.9961202204978757,0.25301204819277107,0.6428571428571429,0.3631123919308357,0.7874116761223342,0.19582640411695815
